artifact,betweenness_centrality
org.glassfish.packager:glassfish-common-tmp:3.1-b05,351
org.glassfish.packager:glassfish-ejb:3.0-b74,351
org.glassfish.packager:glassfish-nucleus:3.1-b30,351
org.glassfish.packager:glassfish-javahelp:3.0.1-b19,350
org.glassfish.web:web-glue:3.1.1-b01,349
org.apache.geronimo.framework:geronimo-system:2.2.1,348.9
org.ow2.carol:carol:3.0.8,348
org.glassfish.packager:glassfish-management:3.0-b61,348
org.apache.maven.wagon:wagon-webdav:1.0-beta-2,347.25
com.sun.grizzly:grizzly-config:1.9.19-beta4,347
org.glassfish.packager:glassfish-management:3.0-b71,346
org.hibernate:hibernate:3.2.5.ga,345.333333333333
org.ow2.jonas:jonas-deployment:5.1.1,343.866666666667
org.glassfish.core:kernel:3.1.1-b02,343.5
com.sun.grizzly:grizzly-config:1.9.18-i,343
org.glassfish.packager:shoal:3.1.1-b07,341
org.glassfish.packager:glassfish-upgrade:3.2-b01,340
org.glassfish.distributions:web-nb:3.1-b10,339.5
